index,stnode,endnode,road,h_before,h_after
1677,1934771028,1833313086,1,dirt_road,paved_road
2443,1934771022,1934771028,1,dirt_road,paved_road
2444,1934771022,6404724241,1,dirt_road,paved_road
1598,6404724241,1833313071,1,dirt_road,paved_road
1593,6404679085,1833313069,2,dirt_road,paved_road
1585,3820288241,1833313069,2,dirt_road,paved_road
4065,2569006142,3820288241,2,dirt_road,paved_road
4074,6400267945,2569006142,2,dirt_road,paved_road
4075,6400267945,5635168557,2,dirt_road,paved_road
4049,5635168557,2569006132,2,dirt_road,paved_road
4053,3820288221,2569006132,2,dirt_road,paved_road
4818,5632591878,3820288221,2,dirt_road,paved_road
4820,5632591878,3250279364,2,dirt_road,paved_road
7418,4723210848,5632424987,3,paved_road_b,paved_road
7428,6419656940,4723210848,3,paved_road_b,paved_road
10818,6419656914,6419656940,3,paved_road_b,paved_road
10817,6419656914,6355281532,3,paved_road_b,paved_road
5114,6355281532,3328127254,3,paved_road_b,paved_road
5118,6357234590,3328127254,3,paved_road_b,paved_road
10800,6357305017,6355202155,3,paved_road_b,paved_road
10796,6355202155,6355204289,3,paved_road_b,paved_road
7189,6355204289,4095037812,3,paved_road_b,paved_road
7186,4095037812,4723269870,3,paved_road_b,paved_road
4721,4723269870,8254257056,3,paved_road_b,paved_road
3016,8254257056,1935839806,3,paved_road_b,paved_road
3020,4723269872,1935839806,4,paved_road_b,paved_road
7444,4723269875,4723269872,4,paved_road_b,paved_road
7448,5637073776,4723269875,4,paved_road_b,paved_road
7447,5637073776,6426470851,4,paved_road_b,paved_road
4747,6426470851,2617432433,4,paved_road_b,paved_road
4742,2617432433,2617432422,4,paved_road_b,paved_road
3011,2617432422,1935839798,4,paved_road_b,paved_road
11130,6426470863,6426470856,5,pedestrian_road,paved_road
11230,8252830401,6426470863,5,pedestrian_road,paved_road
11232,8252830401,8254257041,5,pedestrian_road,paved_road
8179,8254257041,8252247337,5,pedestrian_road,paved_road
11349,8254257033,8252247337,5,pedestrian_road,paved_road
11348,8254257033,8252247334,5,pedestrian_road,paved_road
2770,1934806998,1934807005,6,paved_road_b,paved_road
2772,5739732715,1934806998,6,paved_road_b,paved_road
3003,6411863772,5739732715,6,paved_road_b,paved_road
3004,6411863772,1935829259,6,paved_road_b,paved_road
3001,3887805186,1935829259,6,paved_road_b,paved_road
3000,3887805186,3328127229,6,paved_road_b,paved_road
2976,1935829252,3328127229,6,paved_road_b,paved_road
2998,3887805184,1935829252,6,paved_road_b,paved_road
2997,3887805184,5622672972,6,paved_road_b,paved_road
2982,5622672972,1935829243,6,paved_road_b,paved_road
7796,6404671672,6404679085,1A,pedestrian_road,access_works
7798,6404671672,5280400735,1A,pedestrian_road,access_works
7783,5280400735,8252598604,1A,pedestrian_road,access_works
10458,6389648863,8252598604,1A,pedestrian_road,access_works
11015,6396767353,8252546316,2A,pedestrian_road,access_works
11014,6396767353,6396767354,2A,pedestrian_road,access_works
8075,6396767354,8253130787,2A,pedestrian_road,access_works
4806,8253130787,3250279362,2A,pedestrian_road,access_works
1470,776741705,6419656915,3A,pedestrian_road,access_works
1473,6419656915,8252621002,3A,pedestrian_road,access_works
11106,8252621002,3328127446,3A,pedestrian_road,access_works
5122,3328127446,8252621004,3A,pedestrian_road,access_works
5301,8252621004,6355202157,3A,pedestrian_road,access_works
10802,6355202157,8252621000,3A,pedestrian_road,access_works
3781,8252621000,8252621001,3A,pedestrian_road,access_works
11051,8252621001,6411363669,3B,pedestrian_road,access_works
7440,6411363669,4723232010,3B,pedestrian_road,access_works
3025,8252794412,1935839806,4A,pedestrian_road,access_works
4700,4723269877,8252794412,4A,pedestrian_road,access_works
4739,2617432426,4723269877,4A,pedestrian_road,access_works
4738,2617432426,6426470857,4A,pedestrian_road,access_works
6935,8252794411,6426470857,5A,pedestrian_road,access_works
11353,8254257032,8252794411,5A,pedestrian_road,access_works
11352,8254257032,8254273894,5A,pedestrian_road,access_works
11231,8252830401,8252830402,6a,pedestrian_road,access_works
11354,8252830409,8252830402,6a,pedestrian_road,access_works
1684,,,b_B,pv_before,pv_after
7787,,,b_C,nothing,pv_after
10452,,,b_D,p_before,pv_after
8074,,,b_E,p_before,p_after
4127,,,b_H,p_before,p_after
1450,,,b_L,pv_before,pv_after
7420,,,b_M,p_before,p_after
11105,,,b_O,p_before,p_after
5300,,,b_Q,p_before,p_after
11050,,,b_T,p_before,pv_after
7436,,,b_V,p_before,pv_after
8146,,,b_Z,p_before,p_after
7454,,,b_AB,pv_before,pv_after
11128,,,b_AC,p_before,p_after
11232,,,b_AD ,p_before,pv_after
11351,,,b_AE,p_before,p_after
10459,,,b_D,p_before,pv_after
