,stnode,endnode,osmid,oneway,ref,tunnel,maxspeed,lanes,length,service,bridge,highway,junction,access,name,geometry
0,567924681,1934771035,820923407,False,,,60,,69.433,,,secondary,,,Ava Mártires da Revolução,"LINESTRING (34.8767312 -19.8504692, 34.8773655 -19.8502849)"
1,567924681,4095037852,44785078,True,,,,,69.485,,,tertiary,,,,"LINESTRING (34.8767312 -19.8504692, 34.8764243 -19.8505868, 34.8763052 -19.8506415, 34.8761365 -19.8507433)"
2,567924698,3328284864,326208102,False,,,,,132.19299999999998,,,residential,,,,"LINESTRING (34.8940102 -19.7972442, 34.8935938 -19.7976561, 34.8933136 -19.7978781, 34.8931231 -19.7980876)"
3,567924698,4057352807,839392845,False,,,60,,685.313,,,tertiary,,,Rua Carlos Pereira,"LINESTRING (34.8940102 -19.7972442, 34.8951946 -19.7983556, 34.8957874 -19.7987446, 34.8963846 -19.799122, 34.8985594 -19.8004784, 34.8992401 -19.8009191)"
4,567924698,5637982031,839392845,False,,,60,,223.62099999999998,,,tertiary,,,Rua Carlos Pereira,"LINESTRING (34.8940102 -19.7972442, 34.8927394 -19.7960481, 34.8924928 -19.795828)"
5,567924713,4057352814,44794760,False,,,60,,27.138,,,secondary,,,Rua Carlos Pereira,"LINESTRING (34.8997959 -19.8012607, 34.9000083 -19.8014008)"
6,567924713,7832946827,403385263,True,,,,,12.278,,,service,,,,"LINESTRING (34.8997959 -19.8012607, 34.8997634 -19.8011546)"
7,567924713,5637926568,839392844,False,,,60,,47.201,,,tertiary,,,Rua Carlos Pereira,"LINESTRING (34.8997959 -19.8012607, 34.8994165 -19.801031)"
8,567924713,6354949553,326208118,False,,,,,65.627,,,residential,,,,"LINESTRING (34.8997959 -19.8012607, 34.8997436 -19.801378, 34.8997083 -19.8018398)"
9,567924714,6360551055,403385271,False,,,,,56.206,,,service,,,,"LINESTRING (34.9005242 -19.7984746, 34.9000092 -19.7983307)"
10,567924714,6360551063,786435165,True,,,,,10.619,,,service,,,,"LINESTRING (34.9005242 -19.7984746, 34.9006221 -19.7984998)"
11,567924716,4057352773,52018518,True,,,,,25.964,,,service,,,,"LINESTRING (34.9029918 -19.7991005, 34.9029341 -19.7993276)"
12,567924716,4057352771,"[403385245, 786446725]",False,,,,,87.014,,,service,,no,,"LINESTRING (34.9029918 -19.7991005, 34.9033459 -19.7991837, 34.9037978 -19.7992935)"
13,567924719,4057352763,786435165,True,,,,,23.262,,,service,,,,"LINESTRING (34.9002814 -19.7993175, 34.9003445 -19.7991169)"
