,node_ID,highway,street_count,x,y,geometry
0,567924681,,3,34.8767312,-19.8504692,POINT (34.8767312 -19.8504692)
1,567924698,,3,34.8940102,-19.7972442,POINT (34.8940102 -19.7972442)
2,567924713,,4,34.8997959,-19.8012607,POINT (34.8997959 -19.8012607)
3,567924714,,3,34.9005242,-19.7984746,POINT (34.9005242 -19.7984746)
4,567924716,,3,34.9029918,-19.7991005,POINT (34.9029918 -19.7991005)
5,567924719,,3,34.9002814,-19.7993175,POINT (34.9002814 -19.7993175)
6,567929911,,3,34.8556853,-19.848007,POINT (34.8556853 -19.848007)
7,567929915,,3,34.8723328,-19.8510239,POINT (34.8723328 -19.8510239)
8,567929916,,3,34.8748553,-19.851031,POINT (34.8748553 -19.851031)
9,567929917,,3,34.8745304,-19.8513266,POINT (34.8745304 -19.8513266)
10,567929920,,3,34.8760621,-19.8505504,POINT (34.8760621 -19.8505504)
11,567929922,,3,34.8757849,-19.8506145,POINT (34.8757849 -19.8506145)
12,567929924,,3,34.875857,-19.8508504,POINT (34.875857 -19.8508504)
13,567929925,,3,34.8758303,-19.8502816,POINT (34.8758303 -19.8502816)
14,567929926,,3,34.8759902,-19.8505216,POINT (34.8759902 -19.8505216)
15,567929927,,3,34.8758154,-19.8505741,POINT (34.8758154 -19.8505741)
16,567929928,,3,34.8754527,-19.8508448,POINT (34.8754527 -19.8508448)
17,567929929,,3,34.8755639,-19.8495268,POINT (34.8755639 -19.8495268)
18,567929930,,3,34.8761325,-19.8512336,POINT (34.8761325 -19.8512336)
19,567929931,,3,34.8761912,-19.8514994,POINT (34.8761912 -19.8514994)
20,567929934,,3,34.8775892,-19.851247,POINT (34.8775892 -19.851247)
21,567929937,,3,34.8775705,-19.8515692,POINT (34.8775705 -19.8515692)
22,567929939,,3,34.8761131,-19.8507931,POINT (34.8761131 -19.8507931)
23,567929945,,3,34.8818069,-19.8514734,POINT (34.8818069 -19.8514734)
24,567929948,,4,34.8849103,-19.8506447,POINT (34.8849103 -19.8506447)
25,567929951,,3,34.8885341,-19.8495449,POINT (34.8885341 -19.8495449)
26,567929953,,3,34.8899341,-19.8488173,POINT (34.8899341 -19.8488173)
27,567929954,,3,34.88912,-19.8468224,POINT (34.88912 -19.8468224)
28,567929955,,3,34.894088,-19.8465019,POINT (34.894088 -19.8465019)
29,567929956,,3,34.8952884,-19.8458152,POINT (34.8952884 -19.8458152)
30,567929957,,3,34.8955293,-19.8456854,POINT (34.8955293 -19.8456854)
31,567929958,,3,34.896987,-19.8448948,POINT (34.896987 -19.8448948)
32,567929959,,3,34.8975271,-19.8443229,POINT (34.8975271 -19.8443229)
33,567929960,,4,34.8950674,-19.8450733,POINT (34.8950674 -19.8450733)
34,567929962,,4,34.8968822,-19.8445375,POINT (34.8968822 -19.8445375)
35,567929964,,4,34.8937356,-19.8454581,POINT (34.8937356 -19.8454581)
36,567932008,,3,34.8418513,-19.8334454,POINT (34.8418513 -19.8334454)
37,567932013,,3,34.8436081,-19.8306052,POINT (34.8436081 -19.8306052)
38,567932015,,3,34.8438512,-19.8305013,POINT (34.8438512 -19.8305013)
39,567932019,,3,34.844092,-19.8308049,POINT (34.844092 -19.8308049)
40,567932021,,3,34.8440592,-19.830885,POINT (34.8440592 -19.830885)
41,567932023,,3,34.8439472,-19.8309825,POINT (34.8439472 -19.8309825)
42,567932028,,3,34.8436825,-19.8305396,POINT (34.8436825 -19.8305396)
